,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating
0,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,Ewallet,522.83,4.7619047619999995,26.1415,9.1
2,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,Credit card,324.31,4.7619047619999995,16.2155,7.4
3,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,Ewallet,465.76,4.7619047619999995,23.288,8.4
4,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,Ewallet,604.17,4.7619047619999995,30.2085,5.3
6,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.651999999999997,433.69199999999995,Ewallet,413.04,4.7619047619999995,20.651999999999997,5.8
8,A,Yangon,Member,Female,Health and beauty,36.26,2,3.6260000000000003,76.146,Credit card,72.52,4.7619047619999995,3.6260000000000003,7.2
12,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,Ewallet,234.75,4.7619047619999995,11.7375,7.1
13,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,Ewallet,431.9,4.7619047619999995,21.595,8.2
14,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,Cash,713.8,4.7619047619999995,35.69,5.7
16,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,Credit card,482.51,4.7619047619999995,24.1255,4.6
17,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.44300000000004,Credit card,435.66,4.7619047619999995,21.783,6.9
18,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,Credit card,164.01,4.7619047619999995,8.2005,8.6
23,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,Ewallet,172.8,4.7619047619999995,8.64,9.9
24,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,Ewallet,265.89,4.7619047619999995,13.2945,6.0
25,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.035999999999998,441.756,Credit card,420.72,4.7619047619999995,21.035999999999998,8.5
27,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767000000000001,184.107,Credit card,175.34,4.7619047619999995,8.767000000000001,7.7
29,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,Cash,224.01,4.7619047619999995,11.2005,7.4
33,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.81799999999998,Credit card,193.16,4.7619047619999995,9.658,5.1
36,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,Ewallet,313.1,4.7619047619999995,15.655,7.0
37,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,Ewallet,547.92,4.7619047619999995,27.396,4.7
51,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,Cash,222.95,4.7619047619999995,11.1475,8.5
