,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating
9,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.74599999999998,Credit card,164.52,4.7619047619999995,8.226,5.9
10,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.8960000000000004,60.816,Ewallet,57.92,4.7619047619999995,2.8960000000000004,4.5
11,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.14200000000001,Cash,102.04,4.7619047619999995,5.102,6.8
15,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,Cash,562.32,4.7619047619999995,28.116,4.5
19,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,Ewallet,80.6,4.7619047619999995,4.03,4.4
21,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197000000000001,277.137,Ewallet,263.94,4.7619047619999995,13.197000000000001,5.1
22,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,Credit card,66.4,4.7619047619999995,3.32,4.4
26,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,Cash,33.52,4.7619047619999995,1.676,6.7
28,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,Cash,441.8,4.7619047619999995,22.09,9.6
30,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,Credit card,470.65,4.7619047619999995,23.5325,4.8
31,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,Cash,702.63,4.7619047619999995,35.1315,4.5
32,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,Cash,670.24,4.7619047619999995,33.512,5.1
39,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.00799999999998,Cash,240.96,4.7619047619999995,12.048,7.7
40,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,Ewallet,86.72,4.7619047619999995,4.336,7.9
42,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.45599999999996,Cash,414.72,4.7619047619999995,20.736,5.6
45,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.63199999999995,Cash,375.84,4.7619047619999995,18.792,9.5
46,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,Credit card,510.21,4.7619047619999995,25.5105,8.4
